wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080008,0800080001,2007,2007/7/17,39.77254132,4.761538029,174508,0,0,0,212.55336,586.1617432,0,19.74315262,42.96200943,239.3689575,0,0,397.822052,55.65651321,0,896.534729,28.79510689,748.1994629,17.99360466,2.336269855,0,0,0,158.7184143,1863.062256,0,41.15863037,1046.971191,7778.944336,0,63.77022934,3774000,3774000,21753894.29
080011,0800110001,2007,2007/7/17,12.06379278,6.530769348,174508,0,0,0,29.40673637,196.1687164,0,14.63786221,12.84968948,4.29147768,0,0,93.85211182,0,0,279.06073,0,218.8477173,0,0,0,0,0,53.11192703,668.9536743,0,23.1840477,357.9173279,2217.180176,0,26.15158272,14427000,14427000,22312046.07
080001,0800010001,2009,2009/10/9,28.28568061,4.544000149,374732,0,0,274.0945129,0,0,18.48613167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07617569,0,661.4869995,0,0,13.16599941,101.5126572,460.6695557,2975.412598,0,14299000,14299000,-7826463.291
080006,0800060001,2011,2011/9/23,44.1469728,5.725532055,202207,133.6489868,157.8908844,86.53341675,0,0,0,230.9720154,1139.213257,702.4100342,1707.488037,1256.884155,0,141.5960999,83.66350555,0,0,0,0,0,0,0,0,0,187.425705,0,165.2089996,483.4353027,10504.96387,254.3589172,6.067855835,16952000,16952000,17067676.5
080003,0800030002,2012,2012/5/5,39.30851614,8.217144012,41801,0,0,0,0,0,823.097229,0,0,694.086731,0,0,392.3109436,0,0,0,0,89.85533905,602.2531128,13.3386631,0,49.33324814,749.6455688,0,0,0,0,555.7981567,9435.740234,534.1940918,0,4841000,4841000,28994544.8
080003,0800030007,2012,2012/5/5,24.06619476,6.43599987,69500,0,0,0,0,0,560.932251,0,0,452.8257141,0,0,200.3599243,0,0,0,0,53.56890106,494.845459,16.48398972,0,34.67552185,601.3098145,0,0,0,0,289.8727722,5247.454102,409.2204285,0,5036000,5036000,19992344.15
080003,0800030008,2012,2012/6/28,4.297660927,6.5,41801,0,0,8.396961212,0,0,0,0,5.431484699,0,0,158.9748077,2.280867338,0,12.58802986,3.609622002,0,0,16.22595978,8.759224892,0,497.6458435,137.8220215,0,48.9033699,0,0,2.405208111,0,0,0,488000,488000,-252184.2466
080001,0800010001,2019,2019/10/15,28.28568061,4.544000149,374732,532.1522827,0,59.17034149,0,0,1.889697552,158.4414825,267.7985229,37.11142349,0,0,0,0,625.9127197,42.84772873,0,0,0,103.0793686,25.46512222,347.1400757,147.1688538,246.9797058,0,0,315.4489136,5213.879395,22.73396111,250.5659943,0,14882000,14882000,13316505.92
080003,0800030002,2019,2019/10/15,39.30851614,8.217144012,41801,800.2059937,0,83.93596649,0,0,23.6198082,377.7366943,568.6065063,89.80757904,0,0,0,0,1055.761108,50.63441849,0,0,0,151.4675598,35.32516479,727.3916016,240.8975983,341.7015381,0,0.500110686,654.3674927,13486.39941,64.65519714,486.5016479,0,27427000,27427000,57789548.59
080003,0800030003,2019,2019/10/15,8.778929416,5.422221661,41801,196.4068909,0,22.38547325,0,0,0,56.22884369,93.53381348,12.97145081,0,0,0,0,219.1832581,15.70561981,0,0,0,39.36231232,5.812479973,121.8025894,49.81745911,90.56150818,0,0,112.1753616,1810.24231,9.453131676,87.68507385,0,7936000,7936000,21571892.71
